key,en,fr,am
donateChooseMethod,Choose a payment method,Choisir un moyen de paiement,የክፍያ ዘዴ ይምረጡ
donateSelectBtn,Select,Choisir,ምረጥ
donateComingSoon,Coming soon,Bientôt,በቅርቡ
donateThanks,Every contribution matters. God bless you. 🙏,Chaque contribution compte. Que Dieu vous bénisse. 🙏,እያንዳንዱ አስተዋፅኦ ይቆጠራል። እግዚአብሔር ይባርክዎ። 🙏
close,Close,Fermer,ዝጋ
errorGeneric,Something went wrong. Please try again.,Une erreur est survenue. Réessayez.,የሆነ ችግር ተፈጥሯል። እባክዎ እንደገና ይሞክሩ።
errorBoundaryTitle,Something went wrong,Quelque chose s'est mal passé,የሆነ ችግር ተፈጥሯል
errorBoundaryBody,An unexpected error occurred. Your prayers are safe. You can try again or reload the app.,Une erreur inattendue s'est produite. Vos prières sont en sécurité. Vous pouvez réessayer ou recharger l'application.,ያልተጠበቀ ስህተት ተከስቷል። ጸሎቶችህ ደህና ናቸው። እንደገና መሞከር ወይም መተግበሪያውን እንደገና መጫን ትችላለህ።
errorBoundaryReload,Reload the app,Recharger l'application,መተግበሪያውን እንደገና ጫን
retry,Try again,Réessayer,እንደገና ሞክር
leaveGroupConfirm,Are you sure you want to leave this group?,Êtes-vous sûr de vouloir quitter ce groupe ?,ይህን ቡድን መልቀቅ እንደሚፈልጉ እርግጠኛ ነዎት?
searchRequests,Search a request...,Rechercher une requête...,ጥያቄ ይፈልጉ...
noMatch,No results,Aucun résultat,ምንም ውጤት የለም
offline,You're offline,Vous êtes hors ligne,ከመስመር ውጭ ነዎት
shareInviteLink,Share invite link,Partager le lien d'invitation,የግብዣ ሊንክ ያጋሩ
linkCopied,Link copied!,Lien copié !,ሊንክ ተቀድቷል!
joinedGroup,You joined the group,Vous avez rejoint le groupe,ቡድኑን ተቀላቅለዋል
undo,Undo,Annuler,ቀልብስ
friendRemoved,Friend removed,Ami supprimé,ጓደኛ ተወግዷል
delete,Delete,Supprimer,ሰርዝ
deleteWarning,This action can't be undone.,Cette action est irréversible.,ይህ እርምጃ መቀልበስ አይቻልም።
deleteCategoryConfirm,Delete this category?,Supprimer cette catégorie ?,ይህን ምድብ ይሰረዝ?
removeMemberConfirm,Remove this member from the group?,Retirer ce membre du groupe ?,ይህን አባል ከቡድኑ ያስወግዱ?
showQrCode,QR code,Code QR,QR ኮድ
scanToJoin,Scan to join the group,Scannez pour rejoindre le groupe,ቡድኑን ለመቀላቀል ይቃኙ
joinMyGroup,Join my prayer group,Rejoignez mon groupe de prière,የእኔን የጸሎት ቡድን ይቀላቀሉ
planDayHint,Choose which categories to pray on this day,Choisissez les catégories à prier ce jour,በዚህ ቀን የሚጸልዩባቸውን ምድቦች ይምረጡ
planEmptyDays,These days have nothing planned:,Ces jours n'ont rien de prévu :,እነዚህ ቀናት ምንም የታቀደ የላቸውም:
categoryNotScheduled,Not scheduled,Non planifiée,አልተያዘም
unassignedCategories,{count} category(ies) not scheduled,{count} catégorie(s) non planifiée(s),{count} ምድብ አልተያዘም
autoSchedule,Schedule automatically,Planifier automatiquement,በራስ-ሰር አስይዝ
categoriesScheduled,Categories scheduled,Catégories planifiées,ምድቦች ታቅደዋል
meAuthor,Me,Moi,እኔ
moveUp,Move up,Monter,ወደ ላይ
moveDown,Move down,Descendre,ወደ ታች
prayerDaysHint,"If no day is chosen, follows your category plan","Si aucun jour n'est choisi, suit le plan des catégories",ቀን ካልተመረጠ የምድብ እቅድን ይከተላል
prayerDaysCustom,Custom days (overrides category plan),Jours personnalisés (remplace le plan des catégories),ብጁ ቀናት (የምድብ እቅድን ይተካል)
noCategoriesYet,No categories yet,Aucune catégorie pour l'instant,እስካሁን ምድብ የለም
categoryNamePlaceholder,Category name,Nom de la catégorie,የምድብ ስም
faithfulness,Remember God's faithfulness,Souvenez-vous de la fidélité de Dieu,የእግዚአብሔርን ታማኝነት አስታውሱ
noAnsweredYet,No answered prayers yet,Aucune prière exaucée pour l'instant,እስካሁን የተመለሰ ጸሎት የለም
noAnsweredSub,"When a prayer is answered, mark it and its testimony will appear here.","Quand une prière est exaucée, marquez-la et son témoignage apparaîtra ici.",ጸሎት ሲመለስ ምልክት ያድርጉበት፥ ምስክርነቱም እዚህ ይታያል።
seeTranslation,See translation,Voir la traduction,ትርጉም አሳይ
showOriginal,See original,Voir l'original,ዋናውን አሳይ
pushUnsupported,Your browser does not support notifications.,Votre navigateur ne prend pas en charge les notifications.,አሳሽዎ ማሳወቂያዎችን አይደግፍም።
pushDenied,Notifications were denied. Enable them in your browser settings.,Notifications refusées. Activez-les dans les réglages du navigateur.,ማሳወቂያዎች ተከልክለዋል። በአሳሽ ቅንብሮች ውስጥ ያንቁ።
remindersOn,Reminders enabled 🙏,Rappels activés 🙏,አስታዋሾች ነቅተዋል 🙏
onboardScriptureTitle,Pray God's Word,Priez la Parole de Dieu,የእግዚአብሔርን ቃል ይጸልዩ
onboardScriptureBody,"Tap the verse finder to surface Scripture for any request, and read the Bible right where you pray. Grow with guided plans through the Psalms, God's promises, and more.","Touchez le chercheur de versets pour trouver l’Écriture liée à chaque demande, et lisez la Bible là où vous priez. Grandissez avec des guides à travers les Psaumes, les promesses de Dieu, et plus encore.",ለእያንዳንዱ ልመና የተያያዘ ቅዱስ ጽሑፍ ለማግኘት የጥቅስ ፈላጊውን ይንኩ፣ በሚጸልዩበትም ስፍራ መጽሐፍ ቅዱስን ያንብቡ። በመዝሙረ ዳዊት፣ በእግዚአብሔር ተስፋዎችና በሌሎችም መመሪያዎች ያድጉ።
onboardPlanTitle,Plan your prayers,Planifiez vos prières,ጸሎቶችዎን ያቅዱ
onboardPlanBody,"Schedule any prayer — one time or recurring (daily, on chosen days), or even ""until answered."" A simple calendar shows what to pray today, with gentle catch-up when you miss a day.","Programmez chaque prière — ponctuelle ou récurrente (chaque jour, certains jours), ou même « jusqu’à la réponse ». Un calendrier simple montre quoi prier aujourd’hui, avec un rattrapage en douceur si vous manquez un jour.",እያንዳንዱን ጸሎት ያቅዱ — አንድ ጊዜ ወይም ተደጋጋሚ (በየቀኑ፣ በተመረጡ ቀናት)፣ ወይም እንዲያውም ‘እስኪመለስ ድረስ’። ቀላል የቀን መቁጠሪያ ዛሬ ምን መጸለይ እንዳለብዎ ያሳያል፣ ቀን ካመለጠዎትም በእርጋታ ማካካሻ ያደርጋሉ።
onboardCommunityTitle,Pray together,Priez ensemble,በጋራ ይጸልዩ
onboardCommunityBody,"Join groups, share requests, and pray for one another.","Rejoignez des groupes, partagez des sujets et priez les uns pour les autres.",ቡድኖችን ይቀላቀሉ፣ ርዕሶችን ያጋሩ፣ እርስ በርስ ይጸልዩ።
onboardVaultTitle,Keep it private,Gardez le secret,በግል ይያዙ
onboardVaultBody,"Lock your private prayers in an end-to-end encrypted vault — only your passphrase opens it, and not even we can read them.","Verrouillez vos prières privées dans un coffre chiffré de bout en bout — seule votre phrase secrète l'ouvre, et même nous ne pouvons pas les lire.",የግል ጸሎቶችዎን ከጫፍ እስከ ጫፍ በተመሰጠረ ካዝና ውስጥ ይቆልፉ — የሚስጥር ሐረግዎ ብቻ ይከፍተዋል፣ እኛም ልናነባቸው አንችልም።
onboardStart,Get started,Commencer,ይጀምሩ
dataTitle,Your data,Vos données,የእርስዎ መረጃ
exportData,Export my prayers,Exporter mes prières,ጸሎቶቼን ላክ
exportDataSub,Download all your prayers and testimonies as a file.,Téléchargez toutes vos prières et témoignages en un fichier.,ሁሉንም ጸሎቶችዎን እና ምስክርነቶችዎን እንደ ፋይል ያውርዱ።
exportDone,Export downloaded 🙏,Export téléchargé 🙏,ወደ ውጭ መላክ ወርዷል 🙏
thisWeek,this week,cette semaine,በዚህ ሳምንት
newCount,{n} new,{n} nouveau,{n} አዲስ
syncing,Syncing…,Synchronisation…,በማመሳሰል ላይ…
pendingChanges,{n} waiting,{n} en attente,{n} በመጠባበቅ ላይ
groupSettings,Group settings,Paramètres du groupe,የቡድን ቅንብሮች
autoAddRequestsSub,New requests from this group are added to your prayers automatically.,Les nouvelles demandes de ce groupe sont ajoutées automatiquement à vos prières.,የዚህ ቡድን አዲስ ጥያቄዎች በራስ-ሰር ወደ ጸሎቶችዎ ይታከላሉ።
fromYourGroups,From your groups,Depuis vos groupes,ከቡድኖችዎ
shareFriendLink,Share your friend link,Partagez votre lien d’ami,የጓደኝነት ሊንክዎን ያጋሩ
friendLinkHint,Anyone who opens this link can send you a friend request,Quiconque ouvre ce lien peut vous envoyer une demande d’ami,ይህን ሊንክ የሚከፍት ማንኛውም ሰው የጓደኝነት ጥያቄ ሊልክልዎ ይችላል
addMeFriend,Add me as a prayer partner,Ajoute-moi comme partenaire de prière,እንደ የጸሎት አጋር ያክሉኝ
invalidEmail,Please enter a valid email address,Veuillez saisir une adresse e-mail valide,እባክዎ ትክክለኛ ኢሜይል ያስገቡ
alreadyFriends,You're already friends,Vous êtes déjà amis,አስቀድሞ ጓደኛሞች ናችሁ
renameGroup,Rename group,Renommer le groupe,የቡድን ስም ቀይር
groupRenamed,Group name updated,Nom du groupe mis à jour,የቡድን ስም ተዘምኗል
followsGroup,Follows this shared prayer — edit it in Community to contribute,Suit cette prière partagée — modifiez-la dans la Communauté pour contribuer,ይህን የተጋራ ጸሎት ይከታተላል — ለማበርከት በማኅበረሰብ ውስጥ ያስተካክሉ
removeFromList,Remove from my list,Retirer de ma liste,ከዝርዝሬ አስወግድ
removeFromListConfirm,Removes it from your list and you'll no longer count among those praying. The request stays in the community.,Retiré de votre liste ; vous ne comptez plus parmi ceux qui prient. La demande reste dans la communauté.,ከዝርዝርዎ ይወገዳል እና ከሚጸልዩት መካከል አይቆጠሩም። ጥያቄው በማኅበረሰቡ ውስጥ ይቆያል።
groupOptions,Group options,Options du groupe,የቡድን አማራጮች
prayNow,Pray now,Prier maintenant,አሁን ጸልይ
modeRequests,Pray through them,Prier pour mes sujets,አንድ በአንድ ጸልይ
modeRequestsDesc,Pray through what is on your heart.,Prie pour ce qui est sur ton cœur.,በልብህ ያለውን ጸልይ።
modeGuided,Guide me with Scripture,Me guider par l'Écriture,በቅዱሳት መጻሕፍት ምራኝ
modeGuidedDesc,"A simple beginning, your requests, and thanksgiving.","Un début tout simple, tes sujets, puis l'action de grâces.",ቀላል መጀመሪያ፣ ጸሎቶችህ እና ምስጋና።
modeActs,Pray through ACTS,Prier selon ACTS,በ ACTS ጸልይ
modeActsDesc,A structured biblical prayer pattern — step by step.,Un chemin de prière biblique structuré — pas à pas.,በደረጃ የተዋቀረ መጽሐፍ ቅዱሳዊ የጸሎት መንገድ።
stageAdoration,Adoration,Adoration,አምልኮ
stageAdorationPrompt,"Begin by adoring God for who He is — His holiness, His goodness, His steadfast love. Let this psalm lead you.","Commencez par adorer Dieu pour ce qu'Il est — sa sainteté, sa bonté, son amour fidèle. Laissez ce psaume vous guider.",በመጀመሪያ እግዚአብሔርን እንደ ማንነቱ አምልከው — ቅድስናውን፣ ቸርነቱን፣ የታመነ ፍቅሩን። ይህ መዝሙር ይምራህ።
stageConfession,Confession,Confession,ኑዛዜ
stageConfessionPrompt,"In His presence, quietly confess your sin and receive His mercy. He is faithful to forgive.","En sa présence, confessez doucement votre péché et recevez sa miséricorde. Il est fidèle pour pardonner.",በፊቱ ኃጢአትህን በዝምታ ተናዘዝ ምሕረቱንም ተቀበል። እርሱ ይቅር ለማለት የታመነ ነው።
stageThanksgiving,Thanksgiving,Action de grâces,ምስጋና
stageThanksgivingPrompt,"Give thanks for who God is and what He has done — His faithfulness, His answered prayers.","Rendez grâce pour ce que Dieu est et ce qu'Il a fait — sa fidélité, ses prières exaucées.",እግዚአብሔር ስለ ማንነቱና ስላደረገው አመስግን — ታማኝነቱን፣ የተመለሱ ጸሎቶቹን።
stageSupplication,Supplication,Supplication,ልመና
continueBtn,Continue,Continuer,ቀጥል
amenBtn,Amen,Amen,አሜን
sessionDoneTitle,Time with God 🙏,Un temps avec Dieu 🙏,ከእግዚአብሔር ጋር ጊዜ 🙏
sessionDoneSub,You prayed through {n} subject(s) today.,Vous avez prié pour {n} sujet(s) aujourd’hui.,ዛሬ ለ{n} ጉዳዮች ጸልየሃል።
sessionDoneSub_one,You prayed through 1 subject today.,Vous avez prié pour 1 sujet aujourd’hui.,ዛሬ ለ1 ጉዳይ ጸልየሃል።
sessionDoneSub_other,You prayed through {n} subjects today.,Vous avez prié pour {n} sujets aujourd’hui.,ዛሬ ለ{n} ጉዳዮች ጸልየሃል።
pin,Pin,Épingler,ሰካ
unpin,Unpin,Détacher,አንሳ
resume,Resume,Reprendre,መልስ
prayerDeleted,Prayer deleted,Prière supprimée,ጸሎት ተሰርዟል
removedFromList,Removed from your list,Retiré de votre liste,ከዝርዝርዎ ተወግዷል
testimonies,Testimonies,Témoignages,ምስክርነቶች
options,Options,Options,አማራጮች
nextReminder,Next reminder,Prochain rappel,ቀጣይ ማስታወሻ
tomorrow,tomorrow,demain,ነገ
notPrayedToday,You haven't prayed today,Vous n'avez pas encore prié aujourd'hui,ዛሬ ገና አልጸለይክም
pushUnavailable,Reminder on. Push notifications aren't available on this device.,Rappel activé. Les notifications push ne sont pas disponibles sur cet appareil.,ማስታወሻ በርቷል። በዚህ መሣሪያ ላይ የግፋ ማሳወቂያዎች አይገኙም።
shareVerse,Share verse,Partager le verset,ጥቅሱን አጋራ
verseCopied,Verse copied!,Verset copié !,ጥቅሱ ተቀድቷል!
dangerZone,Danger zone,Zone sensible,አደገኛ ቦታ
deleteAccount,Delete my account,Supprimer mon compte,መለያዬን ሰርዝ
deleteAccountSub,Permanently erase your account and all your data.,Effacez définitivement votre compte et toutes vos données.,መለያዎንና ሁሉንም ውሂብዎን በቋሚነት ይሰርዙ።
deleteAccountWarning,"This permanently deletes your account and all your prayers, testimonies and data. This cannot be undone.","Cette action supprime définitivement votre compte et toutes vos prières, témoignages et données. Elle est irréversible.",ይህ መለያዎንና ሁሉንም ጸሎቶችዎንና ምስክርነቶችዎንና ውሂብዎን በቋሚነት ይሰርዛል። ይህ እርምጃ ሊቀለበስ አይችልም።
deleteAccountConfirm,Delete account,Supprimer le compte,መለያ ሰርዝ
deleteAccountDone,Your account has been deleted,Votre compte a été supprimé,መለያዎ ተሰርዟል
deleteAccountError,Could not delete your account. Please try again.,Impossible de supprimer votre compte. Veuillez réessayer.,መለያዎን መሰረዝ አልተቻለም። እባክዎ እንደገና ይሞክሩ።
grow,Grow,Grandir,እድገት
growTitle,Grow in prayer,Grandir dans la prière,በጸሎት ማደግ
growSubtitle,Learn to pray according to God's Word.,Apprends à prier selon la Parole de Dieu.,በእግዚአብሔር ቃል መሠረት መጸለይን ተማር።
growPray,Pray through,Prier,ጸልይ
growLearn,Learn,Apprendre,ተማር
growPrayIntro,"Short, Scripture-first guides to pray through — in your own words, before God.","De courts guides bibliques à prier — avec tes mots, devant Dieu.",በመጽሐፍ ቅዱስ ላይ የተመሠረቱ አጫጭር የጸሎት መመሪያዎች — በራስህ ቃላት፣ በእግዚአብሔር ፊት።
growLearnIntro,"Short readings on prayer and the Christian life, each rooted in Scripture.","De courtes lectures sur la prière et la vie chrétienne, enracinées dans l'Écriture.",ስለ ጸሎትና ስለ ክርስቲያናዊ ሕይወት አጫጭር ንባቦች፣ እያንዳንዱ በመጽሐፍ ቅዱስ የተመሠረተ።
guideBegin,Begin,Commencer,ጀምር
guideDoneTitle,Amen,Amen,አሜን
guideDoneSub,He hears you. Carry this into your day.,Il t'entend. Emporte cela dans ta journée.,ይሰማሃል። ይህን ወደ ቀንህ ይዘህ ሂድ።
openInBible,Open in your Bible,Ouvre dans ta Bible,በመጽሐፍ ቅዱስህ ክፈት
growScriptureNote,Don't take our word for it — open the Scriptures and see for yourself (Acts 17:11).,Ne nous crois pas sur parole — ouvre les Écritures et vois par toi-même (Actes 17:11).,በቃላችን ብቻ አትመን — መጽሐፍ ቅዱስን ከፍተህ ራስህ ተመልከት (የሐዋርያት ሥራ 17:11)።
growSeekerTitle,New to prayer or Christian faith?,Nouveau dans la prière ou la foi chrétienne ?,በጸሎት ወይም በክርስቲያናዊ እምነት አዲስ ነዎት?
growSeekerDesc,"Discover who Christians pray to, why Jesus is at the center, and how you can come to God honestly.","Découvre à qui les chrétiens prient, pourquoi Jésus est au centre, et comment venir à Dieu honnêtement.",ክርስቲያኖች ለማን እንደሚጸልዩ፣ ኢየሱስ ለምን መሃል እንደሆነ፣ እና ወደ እግዚአብሔር በቅንነት እንዴት መቅረብ እንደሚችሉ ይወቁ።
gospelStart,Start journey,Commencer le parcours,ጉዞ ጀምር
gospelBack,Back,Retour,ተመለስ
backBtn,Back,Retour,ተመለስ
gospelStep,Step {n} of {total},Étape {n} sur {total},ደረጃ {n} ከ{total}
gospelCompleted,Journey completed,Parcours terminé,ጉዞ ተጠናቀቀ
gospelUsePrayer,Use a guided prayer,Utiliser une prière guidée,የመመሪያ ጸሎት ተጠቀም
gospelHidePrayer,Hide guided prayer,Masquer la prière guidée,የመመሪያ ጸሎት ደብቅ
gospelNextStepsHeading,Where would you like to go next?,Où souhaites-tu aller maintenant ?,ቀጥሎ ወዴት መሄድ ይፈልጋሉ?
gospelCreatePrayer,Create a private prayer,Créer une prière privée,የግል ጸሎት ፍጠር
gospelContinueExploring,Continue exploring,Continuer à explorer,ማሰስ ቀጥል
gospelMoreQuestions,I still have questions,J'ai encore des questions,አሁንም ጥያቄዎች አሉኝ
gospelRelatedReading,Related reading,Lectures liées,ተዛማጅ ንባብ
gospelReturnToGrow,Return to Grow,Revenir à Grandir,ወደ ማደግ ተመለስ
gospelReadMore,Read more,Lire la suite,ተጨማሪ አንብብ
gospelReadWhyPray,Read about why Christians pray,Lire « Pourquoi les chrétiens prient »,አንብብ፦ ክርስቲያኖች ለምን እንደሚጸልዩ
gospelReadGrace,Read about grace,Lire « La grâce »,አንብብ፦ ጸጋ
gospelReadFaith,Read about faith,Lire « La foi »,አንብብ፦ እምነት
gospelReadRepentance,Read about repentance,Lire « La repentance »,አንብብ፦ ንስሐ
gospelInviteWhyPray,Discover why Christians come to God through Jesus.,Découvre pourquoi les chrétiens viennent à Dieu par Jésus.,ክርስቲያኖች በኢየሱስ በኩል ወደ እግዚአብሔር ለምን እንደሚመጡ ይወቁ።
gospelInviteGrace,Explore the good news at the heart of God's grace.,Explore la bonne nouvelle au cœur de la grâce de Dieu.,በእግዚአብሔር ጸጋ ልብ ውስጥ ያለውን ምስራች ያስሱ።
gospelInviteFaith,Learn what it means to place your trust in Jesus.,Apprends ce que signifie placer ta confiance en Jésus.,በኢየሱስ መታመን ምን ማለት እንደሆነ ይማሩ።
gospelInviteRepentance,See how repentance and faith belong together.,Vois comment la repentance et la foi vont ensemble.,ንስሐና እምነት እንዴት አብረው እንደሚሄዱ ይመልከቱ።
gospelInviteSuffering,Discover how Jesus entered human suffering and gives lasting hope.,Découvre comment Jésus est entré dans la souffrance humaine et donne une espérance durable.,ኢየሱስ ወደ ሰው መከራ እንዴት እንደገባና ዘላቂ ተስፋ እንደሚሰጥ ይወቁ።
gospelInviteLabel,Exploring the Christian faith?,Tu explores la foi chrétienne ?,የክርስቲያን እምነትን እያሰሱ ነው?
scheduleLabel,Schedule,Planification,መርሐ ግብር
addSchedule,Add a schedule,Ajouter une planification,መርሐ ግብር ጨምር
editSchedule,Edit schedule,Modifier la planification,መርሐ ግብር አስተካክል
schedFollowPlan,Follows weekly plan,Suit le plan hebdo,የሳምንቱን እቅድ ይከተላል
schedOnce,One-time,Une fois,አንድ ጊዜ
schedRecurring,Recurring,Récurrent,ተደጋጋሚ
scheduleHowOften,When would you like to pray?,Quand souhaites-tu prier ?,መቼ መጸለይ ትፈልጋለህ?
schedPrayOnce,Pray once,Prier une fois,አንድ ጊዜ ጸልይ
schedPrayRecurring,Pray regularly,Prier régulièrement,በመደበኛነት ጸልይ
schedAdvanced,Advanced options,Options avancées,የላቁ አማራጮች
followUpTitle,Remind me to follow up,Me rappeler de faire un suivi,Remind me to follow up
followUpHint,A one-time nudge to check back in on this prayer — separate from its schedule.,Un rappel unique pour revenir sur cette prière — indépendant de sa planification.,A one-time nudge to check back in on this prayer — separate from its schedule.
followUpOff,Off,Aucun,Off
followUpIn3Days,In 3 days,Dans 3 jours,In 3 days
followUpIn1Week,In 1 week,Dans 1 semaine,In 1 week
followUpIn2Weeks,In 2 weeks,Dans 2 semaines,In 2 weeks
followUpPickDate,Pick a date,Choisir une date,Pick a date
followUpDue,Time to follow up on this prayer,Il est temps de faire un suivi de cette prière,Time to follow up on this prayer
followUpSetFor,Follow-up set for {date},Suivi prévu le {date},Follow-up set for {date}
followUpAddUpdate,Add update,Ajouter une note,Add update
followUpSnooze,Snooze,Reporter,Snooze
followUpAnother,Set another,Reprogrammer,Set another
followUpDismiss,Dismiss,Ignorer,Dismiss
followUpSetToast,Follow-up reminder set,Rappel de suivi programmé,Follow-up reminder set
followUpDoneToast,Follow-up cleared,Suivi effacé,Follow-up cleared
freqDaily,Daily,Chaque jour,በየቀኑ
freqWeekly,Weekly,Hebdomadaire,በየሳምንቱ
freqInterval,Every N days,Tous les N jours,በየ N ቀን
freqMonthly,Monthly,Mensuel,በየወሩ
freqYearly,Yearly,Annuel,በየዓመቱ
intervalEvery,Every,Tous les,በየ
intervalDays,days,jours,ቀን
monthlyOnDay,On day,Le jour,በቀን
slotLabel,Prayer time,Moment de prière,የጸሎት ጊዜ
slotAnytime,Anytime,À tout moment,በማንኛውም ጊዜ
slot_morning,Morning,Matin,ጠዋት
slot_midday,Midday,Midi,ቀትር
slot_evening,Evening,Soir,ማታ
endsLabel,Ends,Fin,ያበቃል
endNever,Never,Jamais,በጭራሽ
endWhenAnswered,When answered,Quand exaucé,ሲመለስ
endOnDate,On a date,À une date,በተወሰነ ቀን
endAfterCount,After N times,Après N fois,ከ N ጊዜ በኋላ
endTimesSuffix,times,fois,ጊዜ
schedDaily,Every day,Chaque jour,በየቀኑ
schedWeekly,Every {days},Chaque {days},በየ {days}
schedInterval,Every {n} days,Tous les {n} jours,በየ {n} ቀን
schedMonthly,On day {d} of each month,Le {d} de chaque mois,በየወሩ በቀን {d}
schedYearly,Every year on {date},Chaque année le {date},በየዓመቱ በ{date}
schedUntilDate,until {date},jusqu'au {date},እስከ {date}
schedTimes,{n} times,{n} fois,{n} ጊዜ
schedUntilAnswered,until answered,jusqu'à l'exaucement,እስኪመለስ ድረስ
monthView,Month,Mois,ወር
weekView,Week,Semaine,ሳምንት
calendarTitle,Prayer calendar,Calendrier de prière,የጸሎት ቀን መቁጠሪያ
calendarSub,Plan one-time and recurring prayers day by day,Planifie des prières ponctuelles et récurrentes jour par jour,የአንድ ጊዜ እና ተደጋጋሚ ጸሎቶችን ቀን በቀን ያቅዱ
legendRecurring,Recurring,Récurrent,ተደጋጋሚ
legendOnce,One-time,Une fois,አንድ ጊዜ
legendPlan,Weekly plan,Plan hebdo,የሳምንት እቅድ
legendGroup,Group,Groupe,ቡድን
noPrayersThisDay,Nothing planned this day,Rien de prévu ce jour,በዚህ ቀን የታቀደ ነገር የለም
prayedOnDay,Prayed,Prié,ጸልያለሁ
markPrayed,Mark prayed,Marquer prié,እንደ ጸለይኩ ምልክት አድርግ
skipThisDay,Skip this day,Passer ce jour,ይህን ቀን ዝለል
moveThisDay,Move to another day,Déplacer à un autre jour,ወደ ሌላ ቀን አዛውር
restoreOccurrence,Restore this day,Rétablir ce jour,ይህን ቀን መልስ
occurrenceSkipped,Skipped — this day only,Passé — ce jour uniquement,ተዘሏል — ይህ ቀን ብቻ
occurrenceMoved,Moved to {date},Déplacé au {date},ወደ {date} ተዛውሯል
endSeriesHere,End series before this day,Terminer la série avant ce jour,ከዚህ ቀን በፊት ተከታታዩን አብቃ
seriesEnded,Series ended,Série terminée,ተከታታዩ አብቅቷል
catchUpTitle,Catch up,Rattrapage,ማካካስ
catchUpSub,"Missed these last days — no guilt, just grace","Manqués ces derniers jours — sans culpabilité, avec grâce",ባለፉት ቀናት የታለፉ — ያለ ጥፋተኝነት፣ በጸጋ
missedOn,Missed {date},Manqué le {date},{date} ታልፏል
rotationLabel,Rotation,Rotation,ተራ
rotationOffShort,Off,Non,ጠፍቷል
rotationPerDay,{n} per day in rotation,{n} par jour en rotation,በቀን {n} በተራ
rotationHint,Pray through this list a few at a time — everyone gets covered across the cycle.,Prie cette liste quelques sujets à la fois — chacun est couvert au fil du cycle.,ይህን ዝርዝር ጥቂት ጥቂት አድርገው ይጸልዩ — በዙሩ ሁሉም ይሸፈናል።
plansTitle,Prayer plans,Plans de prière,የጸሎት እቅዶች
plansSub,Guided journeys with a theme and verse for each day,Des parcours guidés avec un thème et un verset chaque jour,በየቀኑ ጭብጥ እና ጥቅስ ያላቸው የሚመሩ ጉዞዎች
perDayTitle,A few per day,Quelques-unes par jour,በቀን ጥቂት
perDaySub,"Cap how many prayers Today asks of you, so a long list stays doable.","Limite le nombre de prières proposées chaque jour, pour qu'une longue liste reste tenable.",ዛሬ የሚጠይቅህን የጸሎት ብዛት ገድብ፣ ረጅም ዝርዝርም እንዲቻል።
perDayOff,All,Toutes,ሁሉም
labelsTitle,Labels,Étiquettes,መለያዎች
labelsSub,Group and filter your prayers. The rhythm is set on each prayer.,Pour regrouper et filtrer tes prières. Le rythme se règle sur chaque prière.,ጸሎቶችህን ለመቧደንና ለማጣራት። ምት በእያንዳንዱ ጸሎት ላይ ይዘጋጃል።
addLabel,Add label,Ajouter une étiquette,መለያ ጨምር
editLabel,Edit label,Modifier l'étiquette,መለያ አስተካክል
newLabel,New label,Nouvelle étiquette,አዲስ መለያ
labelNamePlaceholder,Label name,Nom de l'étiquette,የመለያ ስም
noLabelsYet,No labels yet,Pas encore d'étiquettes,እስካሁን መለያ የለም
planStart,Start plan,Commencer le plan,እቅድ ጀምር
planStartDate,Start date,Date de début,የመጀመሪያ ቀን
planStarted,Plan added to your prayers 🙏,Plan ajouté à tes prières 🙏,እቅዱ ወደ ጸሎቶችህ ታክሏል 🙏
planRunning,In progress,En cours,በሂደት ላይ
planInviteCta,Invite friends or a group,Inviter des amis ou un groupe,ጓደኞችን ወይም ቡድን ጋብዝ
planInviteTitle,Pray this plan together,Priez ce plan ensemble,ይህን እቅድ አብራችሁ ጸልዩ
planInviteSub,Invite friends or a whole group to walk this plan with you. Each person accepts on their own and the plan starts on their calendar.,Invite des amis ou un groupe entier à suivre ce plan avec toi. Chacun accepte de son côté et le plan démarre sur son calendrier.,ጓደኞችህን ወይም ሙሉ ቡድን ይህን እቅድ ካንተ ጋር እንዲራመዱ ጋብዝ። እያንዳንዱ ራሱ ይቀበላል፣ እቅዱም በቀን መቁጠሪያው ይጀምራል።
planInviteFriendsHeading,Friends,Amis,ጓደኞች
planInviteGroupsHeading,Groups,Groupes,ቡድኖች
planInviteEmpty,"Add a friend or join a group first, then you can invite them here.","Ajoute d'abord un ami ou rejoins un groupe, puis tu pourras les inviter ici.",መጀመሪያ ጓደኛ ጨምር ወይም ቡድን ተቀላቀል፣ ከዚያ እዚህ ልትጋብዛቸው ትችላለህ።
planInviteSend,Send invitations,Envoyer les invitations,ግብዣዎችን ላክ
planInviteSentToast,Invitations sent 🙏,Invitations envoyées 🙏,ግብዣዎች ተልከዋል 🙏
planInvitedBadge,Invited,Invité,ተጋብዟል
planInvitationsHeading,Invited to pray together,Invité à prier ensemble,አብረው ለመጸለይ ተጋብዘዋል
planInvitationFrom,{name} invited you,{name} t'a invité,{name} ጋብዞሃል
planInviteAccept,Pray along,Prier aussi,አብሬ እጸልያለሁ
groupPlansHeading,Praying together,Prier ensemble,አብረን እንጸልይ
groupPlanStartCta,Pray a plan together,Prier un plan ensemble,አንድ እቅድ አብረን እንጸልይ
groupPlanPickerTitle,Choose a plan for the group,Choisir un plan pour le groupe,ለቡድኑ እቅድ ይምረጡ
