key,en,fr,tl
shareFriendLink,Share your friend link,Partagez votre lien d’ami,Ibahagi ang iyong friend link
friendLinkHint,Anyone who opens this link can send you a friend request,Quiconque ouvre ce lien peut vous envoyer une demande d’ami,Sinumang magbukas ng link na ito ay maaaring magpadala sa iyo ng friend request
addMeFriend,Add me as a prayer partner,Ajoute-moi comme partenaire de prière,Idagdag mo ako bilang kapartner sa panalangin
invalidEmail,Please enter a valid email address,Veuillez saisir une adresse e-mail valide,Maglagay ng wastong email address
alreadyFriends,You're already friends,Vous êtes déjà amis,Magkaibigan na kayo
renameGroup,Rename group,Renommer le groupe,Palitan ang pangalan ng grupo
groupRenamed,Group name updated,Nom du groupe mis à jour,Na-update ang pangalan ng grupo
followsGroup,Follows this shared prayer — edit it in Community to contribute,Suit cette prière partagée — modifiez-la dans la Communauté pour contribuer,Sinusundan ang ibinahaging panalanging ito — i-edit sa Community para mag-ambag
removeFromList,Remove from my list,Retirer de ma liste,Alisin sa listahan ko
removeFromListConfirm,Removes it from your list and you'll no longer count among those praying. The request stays in the community.,Retiré de votre liste ; vous ne comptez plus parmi ceux qui prient. La demande reste dans la communauté.,Inaalis ito sa iyong listahan at hindi ka na mabibilang sa mga nagdarasal. Nananatili ang kahilingan sa komunidad.
groupOptions,Group options,Options du groupe,Mga opsyon ng grupo
prayNow,Pray now,Prier maintenant,Manalangin ngayon
modeRequests,Pray through them,Prier pour mes sujets,Ipanalangin ang bawat isa
modeRequestsDesc,Pray through what is on your heart.,Prie pour ce qui est sur ton cœur.,Ipanalangin ang nasa puso mo.
modeGuided,Guide me with Scripture,Me guider par l'Écriture,Gabayan ako ng Kasulatan
modeGuidedDesc,"A simple beginning, your requests, and thanksgiving.","Un début tout simple, tes sujets, puis l'action de grâces.","Simpleng simula, ang mga kahilingan mo, at pasasalamat."
modeActs,Pray through ACTS,Prier selon ACTS,Manalangin ayon sa ACTS
modeActsDesc,A structured biblical prayer pattern — step by step.,Un chemin de prière biblique structuré — pas à pas.,Isang maayos na huwarang panalangin mula sa Bibliya — hakbang-hakbang.
stageAdoration,Adoration,Adoration,Pagsamba
stageAdorationPrompt,"Begin by adoring God for who He is — His holiness, His goodness, His steadfast love. Let this psalm lead you.","Commencez par adorer Dieu pour ce qu'Il est — sa sainteté, sa bonté, son amour fidèle. Laissez ce psaume vous guider.","Magsimula sa pagsamba sa Diyos para sa kung sino Siya — ang Kanyang kabanalan, kabutihan, at tapat na pag-ibig. Hayaang gabayan ka ng awit na ito."
stageConfession,Confession,Confession,Pagtatapat
stageConfessionPrompt,"In His presence, quietly confess your sin and receive His mercy. He is faithful to forgive.","En sa présence, confessez doucement votre péché et recevez sa miséricorde. Il est fidèle pour pardonner.","Sa Kanyang harapan, tahimik na ipagtapat ang iyong kasalanan at tanggapin ang Kanyang awa. Tapat Siyang magpatawad."
stageThanksgiving,Thanksgiving,Action de grâces,Pasasalamat
stageThanksgivingPrompt,"Give thanks for who God is and what He has done — His faithfulness, His answered prayers.","Rendez grâce pour ce que Dieu est et ce qu'Il a fait — sa fidélité, ses prières exaucées.","Magpasalamat para sa kung sino ang Diyos at sa Kanyang ginawa — ang Kanyang katapatan, ang mga sinagot Niyang panalangin."
stageSupplication,Supplication,Supplication,Pagsamo
continueBtn,Continue,Continuer,Magpatuloy
amenBtn,Amen,Amen,Amen
sessionDoneTitle,Time with God 🙏,Un temps avec Dieu 🙏,Oras na kasama ang Diyos 🙏
sessionDoneSub,You prayed through {n} subject(s) today.,Vous avez prié pour {n} sujet(s) aujourd’hui.,Ipinanalangin mo ang {n} paksa ngayon.
sessionDoneSub_one,You prayed through 1 subject today.,Vous avez prié pour 1 sujet aujourd’hui.,Ipinanalangin mo ang 1 paksa ngayon.
sessionDoneSub_other,You prayed through {n} subjects today.,Vous avez prié pour {n} sujets aujourd’hui.,Ipinanalangin mo ang {n} paksa ngayon.
pin,Pin,Épingler,I-pin
unpin,Unpin,Détacher,Alisin
resume,Resume,Reprendre,Ibalik
prayerDeleted,Prayer deleted,Prière supprimée,Tinanggal ang panalangin
removedFromList,Removed from your list,Retiré de votre liste,Inalis sa iyong listahan
testimonies,Testimonies,Témoignages,Mga patotoo
options,Options,Options,Mga opsyon
nextReminder,Next reminder,Prochain rappel,Susunod na paalala
tomorrow,tomorrow,demain,bukas
notPrayedToday,You haven't prayed today,Vous n'avez pas encore prié aujourd'hui,Hindi ka pa nananalangin ngayon
pushUnavailable,Reminder on. Push notifications aren't available on this device.,Rappel activé. Les notifications push ne sont pas disponibles sur cet appareil.,Naka-on ang paalala. Hindi available ang push notifications sa device na ito.
shareVerse,Share verse,Partager le verset,Ibahagi ang talata
verseCopied,Verse copied!,Verset copié !,Nakopya ang talata!
dangerZone,Danger zone,Zone sensible,Mapanganib na bahagi
deleteAccount,Delete my account,Supprimer mon compte,Burahin ang aking account
deleteAccountSub,Permanently erase your account and all your data.,Effacez définitivement votre compte et toutes vos données.,Permanenteng burahin ang iyong account at lahat ng iyong data.
deleteAccountWarning,"This permanently deletes your account and all your prayers, testimonies and data. This cannot be undone.","Cette action supprime définitivement votre compte et toutes vos prières, témoignages et données. Elle est irréversible.","Permanenteng buburahin nito ang iyong account at lahat ng iyong panalangin, testimonya at data. Hindi ito maibabalik."
deleteAccountConfirm,Delete account,Supprimer le compte,Burahin ang account
deleteAccountDone,Your account has been deleted,Votre compte a été supprimé,Nabura na ang iyong account
deleteAccountError,Could not delete your account. Please try again.,Impossible de supprimer votre compte. Veuillez réessayer.,Hindi mabura ang iyong account. Pakisubukang muli.
grow,Grow,Grandir,Lumago
growTitle,Grow in prayer,Grandir dans la prière,Lumago sa panalangin
growSubtitle,Learn to pray according to God's Word.,Apprends à prier selon la Parole de Dieu.,Matutong manalangin ayon sa Salita ng Diyos.
growPray,Pray through,Prier,Manalangin
growLearn,Learn,Apprendre,Matuto
growPrayIntro,"Short, Scripture-first guides to pray through — in your own words, before God.","De courts guides bibliques à prier — avec tes mots, devant Dieu.","Maiikling gabay na nakabatay sa Kasulatan na maipapanalangin — sa iyong sariling mga salita, sa harap ng Diyos."
growLearnIntro,"Short readings on prayer and the Christian life, each rooted in Scripture.","De courtes lectures sur la prière et la vie chrétienne, enracinées dans l'Écriture.","Maiikling babasahin tungkol sa panalangin at buhay-Kristiyano, bawat isa'y nakaugat sa Kasulatan."
guideBegin,Begin,Commencer,Magsimula
guideDoneTitle,Amen,Amen,Amen
guideDoneSub,He hears you. Carry this into your day.,Il t'entend. Emporte cela dans ta journée.,Naririnig ka Niya. Dalhin mo ito sa iyong araw.
openInBible,Open in your Bible,Ouvre dans ta Bible,Buksan sa iyong Bibliya
growScriptureNote,Don't take our word for it — open the Scriptures and see for yourself (Acts 17:11).,Ne nous crois pas sur parole — ouvre les Écritures et vois par toi-même (Actes 17:11).,Huwag mo lang basta paniwalaan ang sinasabi namin — buksan ang Kasulatan at tingnan mo mismo (Mga Gawa 17:11).
growSeekerTitle,New to prayer or Christian faith?,Nouveau dans la prière ou la foi chrétienne ?,Bago sa panalangin o sa pananampalatayang Kristiyano?
growSeekerDesc,"Discover who Christians pray to, why Jesus is at the center, and how you can come to God honestly.","Découvre à qui les chrétiens prient, pourquoi Jésus est au centre, et comment venir à Dieu honnêtement.","Alamin kung kanino nananalangin ang mga Kristiyano, bakit nasa gitna si Jesus, at paano ka makakalapit sa Diyos nang tapat."
gospelStart,Start journey,Commencer le parcours,Simulan ang paglalakbay
gospelBack,Back,Retour,Bumalik
backBtn,Back,Retour,Bumalik
gospelStep,Step {n} of {total},Étape {n} sur {total},Hakbang {n} ng {total}
gospelCompleted,Journey completed,Parcours terminé,Natapos ang paglalakbay
gospelUsePrayer,Use a guided prayer,Utiliser une prière guidée,Gumamit ng gabay na panalangin
gospelHidePrayer,Hide guided prayer,Masquer la prière guidée,Itago ang gabay na panalangin
gospelNextStepsHeading,Where would you like to go next?,Où souhaites-tu aller maintenant ?,Saan mo gustong pumunta susunod?
gospelCreatePrayer,Create a private prayer,Créer une prière privée,Gumawa ng pribadong panalangin
gospelContinueExploring,Continue exploring,Continuer à explorer,Magpatuloy sa pagtuklas
gospelMoreQuestions,I still have questions,J'ai encore des questions,May mga tanong pa ako
gospelRelatedReading,Related reading,Lectures liées,Kaugnay na babasahin
gospelReturnToGrow,Return to Grow,Revenir à Grandir,Bumalik sa Lumago
gospelReadMore,Read more,Lire la suite,Magbasa pa
gospelReadWhyPray,Read about why Christians pray,Lire « Pourquoi les chrétiens prient »,Basahin: Bakit nananalangin ang mga Kristiyano
gospelReadGrace,Read about grace,Lire « La grâce »,Basahin: Ang biyaya
gospelReadFaith,Read about faith,Lire « La foi »,Basahin: Ang pananampalataya
gospelReadRepentance,Read about repentance,Lire « La repentance »,Basahin: Ang pagsisisi
gospelInviteWhyPray,Discover why Christians come to God through Jesus.,Découvre pourquoi les chrétiens viennent à Dieu par Jésus.,Alamin kung bakit lumalapit ang mga Kristiyano sa Diyos sa pamamagitan ni Jesus.
gospelInviteGrace,Explore the good news at the heart of God's grace.,Explore la bonne nouvelle au cœur de la grâce de Dieu.,Tuklasin ang mabuting balita sa puso ng biyaya ng Diyos.
gospelInviteFaith,Learn what it means to place your trust in Jesus.,Apprends ce que signifie placer ta confiance en Jésus.,Alamin ang kahulugan ng pagtitiwala kay Jesus.
gospelInviteRepentance,See how repentance and faith belong together.,Vois comment la repentance et la foi vont ensemble.,Tingnan kung paano magkaugnay ang pagsisisi at pananampalataya.
gospelInviteSuffering,Discover how Jesus entered human suffering and gives lasting hope.,Découvre comment Jésus est entré dans la souffrance humaine et donne une espérance durable.,Tuklasin kung paano pumasok si Jesus sa pagdurusa ng tao at nagbibigay ng pananatiling pag-asa.
gospelInviteLabel,Exploring the Christian faith?,Tu explores la foi chrétienne ?,Tinutuklas ang pananampalatayang Kristiyano?
scheduleLabel,Schedule,Planification,Iskedyul
addSchedule,Add a schedule,Ajouter une planification,Magdagdag ng iskedyul
editSchedule,Edit schedule,Modifier la planification,I-edit ang iskedyul
schedFollowPlan,Follows weekly plan,Suit le plan hebdo,Sumusunod sa lingguhang plano
schedOnce,One-time,Une fois,Minsanan
schedRecurring,Recurring,Récurrent,Paulit-ulit
scheduleHowOften,When would you like to pray?,Quand souhaites-tu prier ?,Kailan mo gustong manalangin?
schedPrayOnce,Pray once,Prier une fois,Manalangin nang minsan
schedPrayRecurring,Pray regularly,Prier régulièrement,Manalangin nang regular
schedAdvanced,Advanced options,Options avancées,Mga advanced na opsyon
followUpTitle,Remind me to follow up,Me rappeler de faire un suivi,Remind me to follow up
followUpHint,A one-time nudge to check back in on this prayer — separate from its schedule.,Un rappel unique pour revenir sur cette prière — indépendant de sa planification.,A one-time nudge to check back in on this prayer — separate from its schedule.
followUpOff,Off,Aucun,Off
followUpIn3Days,In 3 days,Dans 3 jours,In 3 days
followUpIn1Week,In 1 week,Dans 1 semaine,In 1 week
followUpIn2Weeks,In 2 weeks,Dans 2 semaines,In 2 weeks
followUpPickDate,Pick a date,Choisir une date,Pick a date
followUpDue,Time to follow up on this prayer,Il est temps de faire un suivi de cette prière,Time to follow up on this prayer
followUpSetFor,Follow-up set for {date},Suivi prévu le {date},Follow-up set for {date}
followUpAddUpdate,Add update,Ajouter une note,Add update
followUpSnooze,Snooze,Reporter,Snooze
followUpAnother,Set another,Reprogrammer,Set another
followUpDismiss,Dismiss,Ignorer,Dismiss
followUpSetToast,Follow-up reminder set,Rappel de suivi programmé,Follow-up reminder set
followUpDoneToast,Follow-up cleared,Suivi effacé,Follow-up cleared
freqDaily,Daily,Chaque jour,Araw-araw
freqWeekly,Weekly,Hebdomadaire,Lingguhan
freqInterval,Every N days,Tous les N jours,Bawat N araw
freqMonthly,Monthly,Mensuel,Buwanan
freqYearly,Yearly,Annuel,Taunan
intervalEvery,Every,Tous les,Bawat
intervalDays,days,jours,araw
monthlyOnDay,On day,Le jour,Sa araw
slotLabel,Prayer time,Moment de prière,Oras ng panalangin
slotAnytime,Anytime,À tout moment,Kahit kailan
slot_morning,Morning,Matin,Umaga
slot_midday,Midday,Midi,Tanghali
slot_evening,Evening,Soir,Gabi
endsLabel,Ends,Fin,Magtatapos
endNever,Never,Jamais,Hindi kailanman
endWhenAnswered,When answered,Quand exaucé,Kapag sinagot
endOnDate,On a date,À une date,Sa isang petsa
endAfterCount,After N times,Après N fois,Pagkatapos ng N beses
endTimesSuffix,times,fois,beses
schedDaily,Every day,Chaque jour,Araw-araw
schedWeekly,Every {days},Chaque {days},Bawat {days}
schedInterval,Every {n} days,Tous les {n} jours,Bawat {n} araw
schedMonthly,On day {d} of each month,Le {d} de chaque mois,Sa ika-{d} ng bawat buwan
schedYearly,Every year on {date},Chaque année le {date},Taun-taon sa {date}
schedUntilDate,until {date},jusqu'au {date},hanggang {date}
schedTimes,{n} times,{n} fois,{n} beses
schedUntilAnswered,until answered,jusqu'à l'exaucement,hanggang masagot
monthView,Month,Mois,Buwan
weekView,Week,Semaine,Linggo
calendarTitle,Prayer calendar,Calendrier de prière,Kalendaryo ng panalangin
calendarSub,Plan one-time and recurring prayers day by day,Planifie des prières ponctuelles et récurrentes jour par jour,Iplano ang minsanan at paulit-ulit na panalangin araw-araw
legendRecurring,Recurring,Récurrent,Paulit-ulit
legendOnce,One-time,Une fois,Minsanan
legendPlan,Weekly plan,Plan hebdo,Lingguhang plano
legendGroup,Group,Groupe,Grupo
noPrayersThisDay,Nothing planned this day,Rien de prévu ce jour,Walang nakaplano sa araw na ito
prayedOnDay,Prayed,Prié,Naipanalangin
markPrayed,Mark prayed,Marquer prié,Markahang naipanalangin
skipThisDay,Skip this day,Passer ce jour,Laktawan ang araw na ito
moveThisDay,Move to another day,Déplacer à un autre jour,Ilipat sa ibang araw
restoreOccurrence,Restore this day,Rétablir ce jour,Ibalik ang araw na ito
occurrenceSkipped,Skipped — this day only,Passé — ce jour uniquement,Nilaktawan — ngayong araw lang
occurrenceMoved,Moved to {date},Déplacé au {date},Inilipat sa {date}
endSeriesHere,End series before this day,Terminer la série avant ce jour,Tapusin ang serye bago ang araw na ito
seriesEnded,Series ended,Série terminée,Natapos ang serye
catchUpTitle,Catch up,Rattrapage,Habulin
catchUpSub,"Missed these last days — no guilt, just grace","Manqués ces derniers jours — sans culpabilité, avec grâce","Nalampasan nitong mga nakaraang araw — walang sisi, may biyaya"
missedOn,Missed {date},Manqué le {date},Nalampasan noong {date}
rotationLabel,Rotation,Rotation,Rotasyon
rotationOffShort,Off,Non,Wala
rotationPerDay,{n} per day in rotation,{n} par jour en rotation,{n} bawat araw sa rotasyon
rotationHint,Pray through this list a few at a time — everyone gets covered across the cycle.,Prie cette liste quelques sujets à la fois — chacun est couvert au fil du cycle.,Ipanalangin ang listahang ito nang paunti-unti — lahat ay masasakop sa buong siklo.
plansTitle,Prayer plans,Plans de prière,Mga plano ng panalangin
plansSub,Guided journeys with a theme and verse for each day,Des parcours guidés avec un thème et un verset chaque jour,Mga ginagabayang paglalakbay na may tema at talata bawat araw
perDayTitle,A few per day,Quelques-unes par jour,Ilan bawat araw
perDaySub,"Cap how many prayers Today asks of you, so a long list stays doable.","Limite le nombre de prières proposées chaque jour, pour qu'une longue liste reste tenable.","Limitahan kung ilang panalangin ang hinihingi ng Ngayon, para manatiling kaya ang mahabang listahan."
perDayOff,All,Toutes,Lahat
labelsTitle,Labels,Étiquettes,Mga label
labelsSub,Group and filter your prayers. The rhythm is set on each prayer.,Pour regrouper et filtrer tes prières. Le rythme se règle sur chaque prière.,Para pagpangkatin at salain ang iyong mga panalangin. Nakatakda ang ritmo sa bawat panalangin.
addLabel,Add label,Ajouter une étiquette,Magdagdag ng label
editLabel,Edit label,Modifier l'étiquette,I-edit ang label
newLabel,New label,Nouvelle étiquette,Bagong label
labelNamePlaceholder,Label name,Nom de l'étiquette,Pangalan ng label
noLabelsYet,No labels yet,Pas encore d'étiquettes,Wala pang label
planStart,Start plan,Commencer le plan,Simulan ang plano
planStartDate,Start date,Date de début,Petsa ng pagsisimula
planStarted,Plan added to your prayers 🙏,Plan ajouté à tes prières 🙏,Naidagdag ang plano sa iyong mga panalangin 🙏
planRunning,In progress,En cours,Isinasagawa
planInviteCta,Invite friends or a group,Inviter des amis ou un groupe,Mag-imbita ng mga kaibigan o grupo
planInviteTitle,Pray this plan together,Priez ce plan ensemble,Sabay-sabay ipagdasal ang planong ito
planInviteSub,Invite friends or a whole group to walk this plan with you. Each person accepts on their own and the plan starts on their calendar.,Invite des amis ou un groupe entier à suivre ce plan avec toi. Chacun accepte de son côté et le plan démarre sur son calendrier.,Anyayahan ang mga kaibigan o isang buong grupo na tahakin ang planong ito kasama mo. Bawat isa ay tumatanggap mismo at magsisimula ang plano sa kanilang kalendaryo.
planInviteFriendsHeading,Friends,Amis,Mga kaibigan
planInviteGroupsHeading,Groups,Groupes,Mga grupo
planInviteEmpty,"Add a friend or join a group first, then you can invite them here.","Ajoute d'abord un ami ou rejoins un groupe, puis tu pourras les inviter ici.","Magdagdag muna ng kaibigan o sumali sa isang grupo, saka mo sila maiimbitahan dito."
planInviteSend,Send invitations,Envoyer les invitations,Ipadala ang mga imbitasyon
planInviteSentToast,Invitations sent 🙏,Invitations envoyées 🙏,Naipadala ang mga imbitasyon 🙏
planInvitedBadge,Invited,Invité,Inimbitahan
planInvitationsHeading,Invited to pray together,Invité à prier ensemble,Inimbitahang manalangin nang sama-sama
planInvitationFrom,{name} invited you,{name} t'a invité,Inimbitahan ka ni {name}
planInviteAccept,Pray along,Prier aussi,Sumabay sa panalangin
groupPlansHeading,Praying together,Prier ensemble,Sama-samang panalangin
groupPlanStartCta,Pray a plan together,Prier un plan ensemble,Ipanalangin ang isang plano nang sama-sama
groupPlanPickerTitle,Choose a plan for the group,Choisir un plan pour le groupe,Pumili ng plano para sa grupo
groupPlanPickerSub,Everyone in the group will see this plan and can join in.,Tout le groupe verra ce plan et pourra s'y joindre.,Makikita ng lahat sa grupo ang planong ito at maaaring sumali.
groupPlanAdoptCta,Start for the group,Lancer pour le groupe,Simulan para sa grupo
groupPlanAdoptNote,Your whole group will see this plan and can pray it with you.,Tout ton groupe verra ce plan et pourra le prier avec toi.,Makikita ng buong grupo mo ang planong ito at maaari itong ipanalangin kasama mo.
groupPlanAlreadyRunning,The group is already praying this,Le groupe prie déjà ce plan,Ipinapanalangin na ng grupo ang planong ito
groupPlanRunningNow,Praying now,En prière,Ipinapanalangin ngayon
groupPlanStartsOn,Starts {date},Débute le {date},Magsisimula sa {date}
groupPlanJoinCta,Pray this with us,Prier avec le groupe,Manalangin kasama namin
groupPlanJoinedBadge,Praying,En prière,Nananalangin
groupPlanCountJustYou,just you,toi seul pour l'instant,ikaw pa lang
groupPlanCountYouPlus,you and {n} more,toi et {n} autre(s),ikaw at {n} pa
groupPlanCountNone,no one yet,personne encore,wala pa
groupPlanCountOthers,{n} praying,{n} en prière,{n} ang nananalangin
groupPlanEnd,End for the group,Terminer pour le groupe,Tapusin para sa grupo
groupPlanEndConfirm,"End this shared plan? It stays on your own calendar, and everyone keeps theirs.","Terminer ce plan partagé ? Il reste sur ton calendrier, et chacun garde le sien.","Tapusin ang planong ito na pinagsasaluhan? Mananatili ito sa sarili mong kalendaryo, at panatilihin ng bawat isa ang kanila."
groupPlanLeave,Leave this plan,Quitter ce plan,Umalis sa planong ito
groupPlanEndedToast,Shared plan ended,Plan partagé terminé,Natapos ang pinagsasaluhang plano
groupPlanStartedToast,Started for the group 🙏,Lancé pour le groupe 🙏,Sinimulan para sa grupo 🙏
notifPlanInvitation,Prayer plan invitation,Invitation à un plan de prière,Imbitasyon sa plano ng panalangin
planDays,{n} days,{n} jours,{n} araw
planDayOf,Day {n} of {total},Jour {n} sur {total},Araw {n} ng {total}
planTheme21Title,21 days of breakthrough,21 jours de percée,21 araw ng tagumpay
planTheme21Sub,Three weeks of persistent daily prayer,Trois semaines de prière quotidienne persévérante,Tatlong linggo ng matiyagang pang-araw-araw na panalangin
planUpperRoomTitle,The Upper Room — 10 days,La chambre haute — 10 jours,Silid sa Itaas — 10 na araw
planUpperRoomSub,"Ten days of united prayer, waiting on the promised Spirit","Dix jours de prière unie, dans l'attente de l'Esprit promis","Sampung araw ng nagkakaisang panalangin, hinihintay ang ipinangakong Espiritu"
planWeek7Title,7 days of gratitude,7 jours de gratitude,7 araw ng pasasalamat
planWeek7Sub,"A week of thanksgiving, one theme a day","Une semaine d'actions de grâces, un thème par jour","Isang linggo ng pagpapasalamat, isang tema bawat araw"
planAltar7Title,Rekindle the altar — 7 days,Rallume l'autel — 7 jours,Muling pag-alabin ang dambana — 7 araw
planAltar7Sub,A week to return to God's presence and stir fresh hunger for Him,Une semaine pour revenir à la présence de Dieu et raviver la faim de Lui,Isang linggo para manumbalik sa presensya ng Diyos at pukawin ang bagong gutom sa Kanya
plan30Title,30 days for others,30 jours pour les autres,30 araw para sa iba
plan30Sub,A month of intercession for people around you,Un mois d'intercession pour ceux qui t'entourent,Isang buwan ng pamamagitan para sa mga tao sa paligid mo
groupCalendarTitle,Prayer calendar,Calendrier de prière,Kalendaryo ng panalangin
groupCalendarSub,Claim a day — the group covers this request together,Choisis un jour — le groupe couvre ce sujet ensemble,Pumili ng araw — sama-samang dinadala ng grupo ang kahilingang ito
commitToPray,I'll pray this day,Je prierai ce jour,Mananalangin ako sa araw na ito
commitmentAdded,Added to your calendar 🙏,Ajouté à ton calendrier 🙏,Naidagdag sa iyong kalendaryo 🙏
commitmentRemoved,Commitment removed,Engagement retiré,Inalis ang pangako
removeCommitmentBtn,Remove my commitment,Retirer mon engagement,Alisin ang aking pangako
noCommitmentsYet,No one has claimed a day yet — be the first,Personne n'a encore choisi de jour — sois le premier,Wala pang pumipili ng araw — maging una
myCommitments,Group commitments,Engagements de groupe,Mga pangako sa grupo
exportIcs,Export to calendar (.ics),Exporter vers un calendrier (.ics),I-export sa kalendaryo (.ics)
exportIcsSub,"Import your prayer schedule into Google Calendar, Outlook or Apple Calendar","Importe ton planning de prière dans Google Calendar, Outlook ou Apple Calendar","I-import ang iyong iskedyul ng panalangin sa Google Calendar, Outlook o Apple Calendar"
scriptureRefOnly,The full text isn't available here. Open it in your Bible to read the whole passage.,Le texte complet n'est pas disponible ici. Ouvre-le dans ta Bible pour lire tout le passage.,Hindi available dito ang buong teksto. Buksan ito sa iyong Bibliya upang basahin ang buong sipi.
privacyCenterTitle,Privacy Center,Centre de confidentialité,Sentro ng Privacy
privacyCenterSub,Understand exactly how your prayers are stored and shared — in plain language.,Comprends exactement comment tes prières sont stockées et partagées — en langage clair.,Unawain nang eksakto kung paano iniimbak at ibinabahagi ang iyong mga panalangin — sa simpleng wika.
privacyCenterBtn,Open Privacy Center,Ouvrir le Centre de confidentialité,Buksan ang Sentro ng Privacy
pcIntro,Here's what leaves your device — and what stays encrypted.,Voici ce qui quitte ton appareil — et ce qui reste chiffré.,Personal ang iyong mga panalangin. Narito ang nangyayari sa kanila — at kung ano ang nananatiling sa iyo lamang.
pcPrivateTitle,Private prayers,Prières privées,Mga pribadong panalangin
pcPrivateBody,"Encrypted on your device before they're stored. Praystead keeps the encrypted content, not readable prayer text — so private prayers are encrypted for you.","Chiffrées sur ton appareil avant d'être stockées. Praystead conserve le contenu chiffré, pas le texte lisible de tes prières — tes prières privées sont chiffrées pour toi.",Ang mga panalanging itinatago mo para sa sarili mo ay iniimbak sa iyong account at ipinapakita lamang sa iyo. Hindi kailanman ipinopost ang mga ito sa isang grupo maliban kung piliin mong ibahagi.
pcSharedTitle,Community prayers,Prières communautaires,Mga ibinahagi at panggrupong panalangin
pcSharedBody,"Encrypted before they're stored, and readable by the members of the group you share them with. Community prayers are encrypted for those group members — not for Praystead.","Chiffrées avant d'être stockées, et lisibles par les membres du groupe avec qui tu les partages. Les prières communautaires sont chiffrées pour ces membres — pas pour Praystead.","Ang panalanging ibinabahagi mo sa isang grupo ay nakikita ng grupong iyon ayon sa disenyo — iyan ang puso ng sama-samang panalangin. Ang anumang ibinabahagi mo ay umaalis sa iyong pribadong espasyo, kaya ibahagi lamang ang bagay na panatag kang makita ng iba."
pcAiTitle,AI guidance,Aide de l'IA,Mga mungkahing tinutulungan ng AI
pcAiBody,"Optional, and off until you turn it on. Only the information needed for that feature is sent, with your consent. The AI can suggest Bible references but never generates Scripture text — that always comes from a trusted source or a link to your own Bible.","Optionnelle, et désactivée tant que tu ne l'actives pas. Seules les informations nécessaires à la fonction sont envoyées, avec ton consentement. L'IA peut suggérer des références bibliques mais ne génère jamais le texte de l'Écriture — celui-ci provient toujours d'une source fiable ou d'un lien vers ta propre Bible.","Nananatiling naka-off ang mga tampok ng AI hangga't hindi mo ito ino-on. Walang anuman tungkol sa isang panalangin ang ipinapadala sa AI nang walang tahasang pahintulot mo, at hindi kailanman lumilikha ang AI ng teksto ng talata sa Bibliya — palaging nagmumula ang Kasulatan sa isang mapagkakatiwalaang pinagmulan o isang link sa iyong sariling Bibliya."
pcPushTitle,Prayer reminders,Rappels de prière,Mga paalala (notification)
pcPushBody,"Generic by default — just a gentle nudge to pray. Prayer titles, details and names are never included in a notification unless you opt in.","Génériques par défaut — une simple invitation à prier. Les titres, détails et noms ne figurent jamais dans une notification, sauf si tu choisis de les inclure.",Ang mga paalala ay naka-iskedyul ayon sa oras lamang. Hindi kailanman kasama sa mga notification ang nilalaman ng iyong panalangin — isang banayad na paanyaya lamang na manalangin.
pcRecoveryTitle,Recovery & other devices,Récupération et autres appareils,Recovery at iba pang device
pcRecoveryBody,"Your prayers are encrypted with a key kept on this device. Set up recovery if you want to open them on another device — without it, encrypted prayers can only be read here. If you lose your recovery code, encrypted prayers can't be recovered.","Tes prières sont chiffrées avec une clé conservée sur cet appareil. Configure la récupération si tu veux les ouvrir sur un autre appareil — sans elle, les prières chiffrées ne sont lisibles qu'ici. Si tu perds ton code de récupération, les prières chiffrées ne peuvent pas être récupérées.","Naka-encrypt ang iyong mga panalangin gamit ang isang key na nananatili sa device na ito. Mag-set up ng recovery kung nais mong buksan ang mga ito sa ibang device — kung wala nito, mababasa lang dito ang mga naka-encrypt na panalangin. Kung mawala ang iyong recovery code, hindi na mababawi ang mga naka-encrypt na panalangin."
pcExportTitle,Exporting your data,Exporter tes données,Pag-export ng iyong data
pcExportBody,You can download all your prayers as a file at any time. Your data is yours.,Tu peux télécharger toutes tes prières dans un fichier à tout moment. Tes données t'appartiennent.,Maaari mong i-download ang lahat ng iyong panalangin bilang isang file anumang oras. Sa iyo ang iyong data.
pcDeleteTitle,Deleting your account,Supprimer ton compte,Pagtanggal ng iyong account
pcDeleteBody,You can permanently delete your account and its data whenever you want. This can't be undone.,Tu peux supprimer définitivement ton compte et ses données quand tu le souhaites. Cette action est irréversible.,Maaari mong permanenteng tanggalin ang iyong account at ang data nito kahit kailan mo gusto. Hindi na ito maibabalik.
pcSecurityNote,"No app can promise perfect security, but Praystead is built to keep your prayers private by default.","Aucune application ne peut promettre une sécurité parfaite, mais Praystead est conçu pour garder tes prières privées par défaut.","Walang app ang makakapangako ng ganap na seguridad, ngunit ginawa ang Praystead upang panatilihing pribado ang iyong mga panalangin bilang default."
planFast3Title,3 days of fasting & prayer,3 jours de jeûne et de prière,3 araw na pag-aayuno at panalangin
planFast3Sub,A biblical three-day fast to seek God,Un jeûne biblique de trois jours pour chercher Dieu,Isang tatlong-araw na pag-aayuno ayon sa Bibliya upang hanapin ang Diyos
planAbout,About this plan,À propos de ce plan,Tungkol sa planong ito
planInBible,In the Bible,Dans la Bible,Sa Bibliya
planDayByDay,Day-by-day preview,Aperçu jour par jour,Preview araw-araw
planDayLabel,Day {n},Jour {n},Araw {n}
planTapToPreview,Tap to preview & start,Touchez pour découvrir et commencer,I-tap para tingnan at simulan
needsAttention,Needs attention,À traiter,Kailangan ng pansin
