key,en,fr,sw
followsGroup,Follows this shared prayer — edit it in Community to contribute,Suit cette prière partagée — modifiez-la dans la Communauté pour contribuer,Inafuata ombi hili lililoshirikiwa — lihariri katika Jumuiya ili kuchangia
removeFromList,Remove from my list,Retirer de ma liste,Ondoa kwenye orodha yangu
removeFromListConfirm,Removes it from your list and you'll no longer count among those praying. The request stays in the community.,Retiré de votre liste ; vous ne comptez plus parmi ceux qui prient. La demande reste dans la communauté.,Inaondolewa kwenye orodha yako na hutahesabiwa tena miongoni mwa wanaoomba. Ombi linabaki katika jumuiya.
groupOptions,Group options,Options du groupe,Chaguo za kikundi
prayNow,Pray now,Prier maintenant,Omba sasa
modeRequests,Pray through them,Prier pour mes sujets,Omba kwa kila moja
modeRequestsDesc,Pray through what is on your heart.,Prie pour ce qui est sur ton cœur.,Omba kwa yaliyo moyoni mwako.
modeGuided,Guide me with Scripture,Me guider par l'Écriture,Niongoze kwa Maandiko
modeGuidedDesc,"A simple beginning, your requests, and thanksgiving.","Un début tout simple, tes sujets, puis l'action de grâces.","Mwanzo rahisi, maombi yako, na shukrani."
modeActs,Pray through ACTS,Prier selon ACTS,Omba kwa mtindo wa ACTS
modeActsDesc,A structured biblical prayer pattern — step by step.,Un chemin de prière biblique structuré — pas à pas.,Muundo wa maombi wa kibiblia ulio na hatua — hatua kwa hatua.
stageAdoration,Adoration,Adoration,Kuabudu
stageAdorationPrompt,"Begin by adoring God for who He is — His holiness, His goodness, His steadfast love. Let this psalm lead you.","Commencez par adorer Dieu pour ce qu'Il est — sa sainteté, sa bonté, son amour fidèle. Laissez ce psaume vous guider.","Anza kwa kumwabudu Mungu kwa jinsi alivyo — utakatifu wake, wema wake, upendo wake wa uaminifu. Acha zaburi hii ikuongoze."
stageConfession,Confession,Confession,Kuungama
stageConfessionPrompt,"In His presence, quietly confess your sin and receive His mercy. He is faithful to forgive.","En sa présence, confessez doucement votre péché et recevez sa miséricorde. Il est fidèle pour pardonner.","Mbele zake, ungama dhambi yako kwa utulivu na upokee rehema yake. Yeye ni mwaminifu kusamehe."
stageThanksgiving,Thanksgiving,Action de grâces,Shukrani
stageThanksgivingPrompt,"Give thanks for who God is and what He has done — His faithfulness, His answered prayers.","Rendez grâce pour ce que Dieu est et ce qu'Il a fait — sa fidélité, ses prières exaucées.","Mshukuru Mungu kwa jinsi alivyo na kwa yale aliyoyatenda — uaminifu wake, maombi yake yaliyojibiwa."
stageSupplication,Supplication,Supplication,Dua
continueBtn,Continue,Continuer,Endelea
amenBtn,Amen,Amen,Amina
sessionDoneTitle,Time with God 🙏,Un temps avec Dieu 🙏,Wakati na Mungu 🙏
sessionDoneSub,You prayed through {n} subject(s) today.,Vous avez prié pour {n} sujet(s) aujourd’hui.,Umeomba kwa ajili ya mambo {n} leo.
sessionDoneSub_one,You prayed through 1 subject today.,Vous avez prié pour 1 sujet aujourd’hui.,Umeomba kwa ajili ya jambo 1 leo.
sessionDoneSub_other,You prayed through {n} subjects today.,Vous avez prié pour {n} sujets aujourd’hui.,Umeomba kwa ajili ya mambo {n} leo.
pin,Pin,Épingler,Bandika
unpin,Unpin,Détacher,Ondoa
resume,Resume,Reprendre,Rejesha
prayerDeleted,Prayer deleted,Prière supprimée,Ombi limefutwa
removedFromList,Removed from your list,Retiré de votre liste,Imeondolewa kwenye orodha yako
testimonies,Testimonies,Témoignages,Ushuhuda
options,Options,Options,Chaguo
nextReminder,Next reminder,Prochain rappel,Kikumbusho kijacho
tomorrow,tomorrow,demain,kesho
notPrayedToday,You haven't prayed today,Vous n'avez pas encore prié aujourd'hui,Hujaomba leo
pushUnavailable,Reminder on. Push notifications aren't available on this device.,Rappel activé. Les notifications push ne sont pas disponibles sur cet appareil.,Kikumbusho kimewashwa. Arifa za push hazipatikani kwenye kifaa hiki.
shareVerse,Share verse,Partager le verset,Shiriki andiko
verseCopied,Verse copied!,Verset copié !,Andiko limenakiliwa!
dangerZone,Danger zone,Zone sensible,Eneo hatari
deleteAccount,Delete my account,Supprimer mon compte,Futa akaunti yangu
deleteAccountSub,Permanently erase your account and all your data.,Effacez définitivement votre compte et toutes vos données.,Futa kabisa akaunti yako na data yako yote.
deleteAccountWarning,"This permanently deletes your account and all your prayers, testimonies and data. This cannot be undone.","Cette action supprime définitivement votre compte et toutes vos prières, témoignages et données. Elle est irréversible.","Hii itafuta kabisa akaunti yako na maombi, ushuhuda na data yako yote. Kitendo hiki hakiwezi kutenduliwa."
deleteAccountConfirm,Delete account,Supprimer le compte,Futa akaunti
deleteAccountDone,Your account has been deleted,Votre compte a été supprimé,Akaunti yako imefutwa
deleteAccountError,Could not delete your account. Please try again.,Impossible de supprimer votre compte. Veuillez réessayer.,Imeshindikana kufuta akaunti yako. Tafadhali jaribu tena.
grow,Grow,Grandir,Kua
growTitle,Grow in prayer,Grandir dans la prière,Kua katika maombi
growSubtitle,Learn to pray according to God's Word.,Apprends à prier selon la Parole de Dieu.,Jifunze kuomba kulingana na Neno la Mungu.
growPray,Pray through,Prier,Omba
growLearn,Learn,Apprendre,Jifunze
growPrayIntro,"Short, Scripture-first guides to pray through — in your own words, before God.","De courts guides bibliques à prier — avec tes mots, devant Dieu.","Miongozo mifupi yenye msingi wa Maandiko ya kuomba — kwa maneno yako mwenyewe, mbele za Mungu."
growLearnIntro,"Short readings on prayer and the Christian life, each rooted in Scripture.","De courtes lectures sur la prière et la vie chrétienne, enracinées dans l'Écriture.","Masomo mafupi kuhusu maombi na maisha ya Kikristo, kila moja yenye mizizi katika Maandiko."
guideBegin,Begin,Commencer,Anza
guideDoneTitle,Amen,Amen,Amina
guideDoneSub,He hears you. Carry this into your day.,Il t'entend. Emporte cela dans ta journée.,Anakusikia. Chukua haya katika siku yako.
openInBible,Open in your Bible,Ouvre dans ta Bible,Fungua katika Biblia yako
growScriptureNote,Don't take our word for it — open the Scriptures and see for yourself (Acts 17:11).,Ne nous crois pas sur parole — ouvre les Écritures et vois par toi-même (Actes 17:11).,Usiamini neno letu tu — fungua Maandiko ujionee mwenyewe (Matendo 17:11).
growSeekerTitle,New to prayer or Christian faith?,Nouveau dans la prière ou la foi chrétienne ?,Mgeni katika sala au imani ya Kikristo?
growSeekerDesc,"Discover who Christians pray to, why Jesus is at the center, and how you can come to God honestly.","Découvre à qui les chrétiens prient, pourquoi Jésus est au centre, et comment venir à Dieu honnêtement.","Gundua Wakristo wanamwomba nani, kwa nini Yesu yuko katikati, na jinsi unavyoweza kumjia Mungu kwa unyoofu."
gospelStart,Start journey,Commencer le parcours,Anza safari
gospelBack,Back,Retour,Rudi
backBtn,Back,Retour,Rudi
gospelStep,Step {n} of {total},Étape {n} sur {total},Hatua {n} kati ya {total}
gospelCompleted,Journey completed,Parcours terminé,Safari imekamilika
gospelUsePrayer,Use a guided prayer,Utiliser une prière guidée,Tumia sala ya mwongozo
gospelHidePrayer,Hide guided prayer,Masquer la prière guidée,Ficha sala ya mwongozo
gospelNextStepsHeading,Where would you like to go next?,Où souhaites-tu aller maintenant ?,Ungependa kwenda wapi sasa?
gospelCreatePrayer,Create a private prayer,Créer une prière privée,Tengeneza sala ya faragha
gospelContinueExploring,Continue exploring,Continuer à explorer,Endelea kuchunguza
gospelMoreQuestions,I still have questions,J'ai encore des questions,Bado nina maswali
gospelRelatedReading,Related reading,Lectures liées,Masomo yanayohusiana
gospelReturnToGrow,Return to Grow,Revenir à Grandir,Rudi kwenye Kua
gospelReadMore,Read more,Lire la suite,Soma zaidi
gospelReadWhyPray,Read about why Christians pray,Lire « Pourquoi les chrétiens prient »,Soma: Kwa nini Wakristo huomba
gospelReadGrace,Read about grace,Lire « La grâce »,Soma: Neema
gospelReadFaith,Read about faith,Lire « La foi »,Soma: Imani
gospelReadRepentance,Read about repentance,Lire « La repentance »,Soma: Toba
gospelInviteWhyPray,Discover why Christians come to God through Jesus.,Découvre pourquoi les chrétiens viennent à Dieu par Jésus.,Gundua kwa nini Wakristo humjia Mungu kupitia Yesu.
gospelInviteGrace,Explore the good news at the heart of God's grace.,Explore la bonne nouvelle au cœur de la grâce de Dieu.,Chunguza habari njema iliyo katikati ya neema ya Mungu.
gospelInviteFaith,Learn what it means to place your trust in Jesus.,Apprends ce que signifie placer ta confiance en Jésus.,Jifunze maana ya kuweka tumaini lako kwa Yesu.
gospelInviteRepentance,See how repentance and faith belong together.,Vois comment la repentance et la foi vont ensemble.,Ona jinsi toba na imani zinavyoenda pamoja.
gospelInviteSuffering,Discover how Jesus entered human suffering and gives lasting hope.,Découvre comment Jésus est entré dans la souffrance humaine et donne une espérance durable.,Gundua jinsi Yesu alivyoingia katika mateso ya wanadamu na kutoa tumaini la kudumu.
gospelInviteLabel,Exploring the Christian faith?,Tu explores la foi chrétienne ?,Unachunguza imani ya Kikristo?
scheduleLabel,Schedule,Planification,Ratiba
addSchedule,Add a schedule,Ajouter une planification,Ongeza ratiba
editSchedule,Edit schedule,Modifier la planification,Hariri ratiba
schedFollowPlan,Follows weekly plan,Suit le plan hebdo,Inafuata mpango wa wiki
schedOnce,One-time,Une fois,Mara moja
schedRecurring,Recurring,Récurrent,Inayojirudia
scheduleHowOften,When would you like to pray?,Quand souhaites-tu prier ?,Ungependa kuomba lini?
schedPrayOnce,Pray once,Prier une fois,Omba mara moja
schedPrayRecurring,Pray regularly,Prier régulièrement,Omba mara kwa mara
schedAdvanced,Advanced options,Options avancées,Chaguo za kina
followUpTitle,Remind me to follow up,Me rappeler de faire un suivi,Remind me to follow up
followUpHint,A one-time nudge to check back in on this prayer — separate from its schedule.,Un rappel unique pour revenir sur cette prière — indépendant de sa planification.,A one-time nudge to check back in on this prayer — separate from its schedule.
followUpOff,Off,Aucun,Off
followUpIn3Days,In 3 days,Dans 3 jours,In 3 days
followUpIn1Week,In 1 week,Dans 1 semaine,In 1 week
followUpIn2Weeks,In 2 weeks,Dans 2 semaines,In 2 weeks
followUpPickDate,Pick a date,Choisir une date,Pick a date
followUpDue,Time to follow up on this prayer,Il est temps de faire un suivi de cette prière,Time to follow up on this prayer
followUpSetFor,Follow-up set for {date},Suivi prévu le {date},Follow-up set for {date}
followUpAddUpdate,Add update,Ajouter une note,Add update
followUpSnooze,Snooze,Reporter,Snooze
followUpAnother,Set another,Reprogrammer,Set another
followUpDismiss,Dismiss,Ignorer,Dismiss
followUpSetToast,Follow-up reminder set,Rappel de suivi programmé,Follow-up reminder set
followUpDoneToast,Follow-up cleared,Suivi effacé,Follow-up cleared
freqDaily,Daily,Chaque jour,Kila siku
freqWeekly,Weekly,Hebdomadaire,Kila wiki
freqInterval,Every N days,Tous les N jours,Kila siku N
freqMonthly,Monthly,Mensuel,Kila mwezi
freqYearly,Yearly,Annuel,Kila mwaka
intervalEvery,Every,Tous les,Kila
intervalDays,days,jours,siku
monthlyOnDay,On day,Le jour,Siku ya
slotLabel,Prayer time,Moment de prière,Wakati wa maombi
slotAnytime,Anytime,À tout moment,Wakati wowote
slot_morning,Morning,Matin,Asubuhi
slot_midday,Midday,Midi,Mchana
slot_evening,Evening,Soir,Jioni
endsLabel,Ends,Fin,Inaisha
endNever,Never,Jamais,Kamwe
endWhenAnswered,When answered,Quand exaucé,Ikijibiwa
endOnDate,On a date,À une date,Tarehe fulani
endAfterCount,After N times,Après N fois,Baada ya mara N
endTimesSuffix,times,fois,mara
schedDaily,Every day,Chaque jour,Kila siku
schedWeekly,Every {days},Chaque {days},Kila {days}
schedInterval,Every {n} days,Tous les {n} jours,Kila siku {n}
schedMonthly,On day {d} of each month,Le {d} de chaque mois,Siku ya {d} kila mwezi
schedYearly,Every year on {date},Chaque année le {date},Kila mwaka tarehe {date}
schedUntilDate,until {date},jusqu'au {date},hadi {date}
schedTimes,{n} times,{n} fois,mara {n}
schedUntilAnswered,until answered,jusqu'à l'exaucement,hadi ijibiwe
monthView,Month,Mois,Mwezi
weekView,Week,Semaine,Wiki
calendarTitle,Prayer calendar,Calendrier de prière,Kalenda ya maombi
calendarSub,Plan one-time and recurring prayers day by day,Planifie des prières ponctuelles et récurrentes jour par jour,Panga maombi ya mara moja na yanayojirudia siku kwa siku
legendRecurring,Recurring,Récurrent,Inayojirudia
legendOnce,One-time,Une fois,Mara moja
legendPlan,Weekly plan,Plan hebdo,Mpango wa wiki
legendGroup,Group,Groupe,Kikundi
noPrayersThisDay,Nothing planned this day,Rien de prévu ce jour,Hakuna kilichopangwa siku hii
prayedOnDay,Prayed,Prié,Umeomba
markPrayed,Mark prayed,Marquer prié,Weka kama umeomba
skipThisDay,Skip this day,Passer ce jour,Ruka siku hii
moveThisDay,Move to another day,Déplacer à un autre jour,Hamisha hadi siku nyingine
restoreOccurrence,Restore this day,Rétablir ce jour,Rejesha siku hii
occurrenceSkipped,Skipped — this day only,Passé — ce jour uniquement,Imerukwa — siku hii tu
occurrenceMoved,Moved to {date},Déplacé au {date},Imehamishwa hadi {date}
endSeriesHere,End series before this day,Terminer la série avant ce jour,Maliza mfululizo kabla ya siku hii
seriesEnded,Series ended,Série terminée,Mfululizo umeisha
catchUpTitle,Catch up,Rattrapage,Fidia
catchUpSub,"Missed these last days — no guilt, just grace","Manqués ces derniers jours — sans culpabilité, avec grâce","Yaliyokoswa siku za nyuma — bila hatia, kwa neema"
missedOn,Missed {date},Manqué le {date},Ilikoswa {date}
rotationLabel,Rotation,Rotation,Mzunguko
rotationOffShort,Off,Non,Hapana
rotationPerDay,{n} per day in rotation,{n} par jour en rotation,{n} kwa siku kwa mzunguko
rotationHint,Pray through this list a few at a time — everyone gets covered across the cycle.,Prie cette liste quelques sujets à la fois — chacun est couvert au fil du cycle.,Omba orodha hii kidogo kidogo — kila mmoja anafikiwa katika mzunguko.
plansTitle,Prayer plans,Plans de prière,Mipango ya maombi
plansSub,Guided journeys with a theme and verse for each day,Des parcours guidés avec un thème et un verset chaque jour,"Safari zenye mwongozo, mada na mstari kila siku"
perDayTitle,A few per day,Quelques-unes par jour,Chache kwa siku
perDaySub,"Cap how many prayers Today asks of you, so a long list stays doable.","Limite le nombre de prières proposées chaque jour, pour qu'une longue liste reste tenable.","Punguza idadi ya sala ambazo Leo inakuomba, ili orodha ndefu ibaki rahisi kushika."
perDayOff,All,Toutes,Zote
labelsTitle,Labels,Étiquettes,Lebo
labelsSub,Group and filter your prayers. The rhythm is set on each prayer.,Pour regrouper et filtrer tes prières. Le rythme se règle sur chaque prière.,Kupanga na kuchuja sala zako. Mdundo huwekwa kwa kila sala.
addLabel,Add label,Ajouter une étiquette,Ongeza lebo
editLabel,Edit label,Modifier l'étiquette,Hariri lebo
newLabel,New label,Nouvelle étiquette,Lebo mpya
labelNamePlaceholder,Label name,Nom de l'étiquette,Jina la lebo
noLabelsYet,No labels yet,Pas encore d'étiquettes,Bado hakuna lebo
planStart,Start plan,Commencer le plan,Anza mpango
planStartDate,Start date,Date de début,Tarehe ya kuanza
planStarted,Plan added to your prayers 🙏,Plan ajouté à tes prières 🙏,Mpango umeongezwa kwenye maombi yako 🙏
planRunning,In progress,En cours,Unaendelea
planInviteCta,Invite friends or a group,Inviter des amis ou un groupe,Alika marafiki au kikundi
planInviteTitle,Pray this plan together,Priez ce plan ensemble,Ombeni mpango huu pamoja
planInviteSub,Invite friends or a whole group to walk this plan with you. Each person accepts on their own and the plan starts on their calendar.,Invite des amis ou un groupe entier à suivre ce plan avec toi. Chacun accepte de son côté et le plan démarre sur son calendrier.,Alika marafiki au kikundi kizima kutembea mpango huu pamoja nawe. Kila mtu anakubali mwenyewe na mpango huanza kwenye kalenda yake.
planInviteFriendsHeading,Friends,Amis,Marafiki
planInviteGroupsHeading,Groups,Groupes,Vikundi
planInviteEmpty,"Add a friend or join a group first, then you can invite them here.","Ajoute d'abord un ami ou rejoins un groupe, puis tu pourras les inviter ici.","Ongeza rafiki au jiunge na kikundi kwanza, kisha unaweza kuwaalika hapa."
planInviteSend,Send invitations,Envoyer les invitations,Tuma mialiko
planInviteSentToast,Invitations sent 🙏,Invitations envoyées 🙏,Mialiko imetumwa 🙏
planInvitedBadge,Invited,Invité,Amealikwa
planInvitationsHeading,Invited to pray together,Invité à prier ensemble,Umealikwa kuomba pamoja
planInvitationFrom,{name} invited you,{name} t'a invité,{name} amekualika
planInviteAccept,Pray along,Prier aussi,Omba pamoja
groupPlansHeading,Praying together,Prier ensemble,Kuomba pamoja
groupPlanStartCta,Pray a plan together,Prier un plan ensemble,Omba mpango pamoja
groupPlanPickerTitle,Choose a plan for the group,Choisir un plan pour le groupe,Chagua mpango kwa ajili ya kikundi
groupPlanPickerSub,Everyone in the group will see this plan and can join in.,Tout le groupe verra ce plan et pourra s'y joindre.,Kila mtu katika kikundi ataona mpango huu na anaweza kujiunga.
groupPlanAdoptCta,Start for the group,Lancer pour le groupe,Anza kwa ajili ya kikundi
groupPlanAdoptNote,Your whole group will see this plan and can pray it with you.,Tout ton groupe verra ce plan et pourra le prier avec toi.,Kikundi chako chote kitaona mpango huu na kinaweza kuuombea pamoja nawe.
groupPlanAlreadyRunning,The group is already praying this,Le groupe prie déjà ce plan,Kikundi tayari kinaomba mpango huu
groupPlanRunningNow,Praying now,En prière,Inaombwa sasa
groupPlanStartsOn,Starts {date},Débute le {date},Huanza {date}
groupPlanJoinCta,Pray this with us,Prier avec le groupe,Omba pamoja nasi
groupPlanJoinedBadge,Praying,En prière,Unaomba
groupPlanCountJustYou,just you,toi seul pour l'instant,wewe pekee kwa sasa
groupPlanCountYouPlus,you and {n} more,toi et {n} autre(s),wewe na wengine {n}
groupPlanCountNone,no one yet,personne encore,bado hakuna mtu
groupPlanCountOthers,{n} praying,{n} en prière,{n} wanaomba
groupPlanEnd,End for the group,Terminer pour le groupe,Maliza kwa kikundi
groupPlanEndConfirm,"End this shared plan? It stays on your own calendar, and everyone keeps theirs.","Terminer ce plan partagé ? Il reste sur ton calendrier, et chacun garde le sien.","Kumaliza mpango huu wa pamoja? Utabaki kwenye kalenda yako mwenyewe, na kila mtu atabaki na wake."
groupPlanLeave,Leave this plan,Quitter ce plan,Ondoka kwenye mpango huu
groupPlanEndedToast,Shared plan ended,Plan partagé terminé,Mpango wa pamoja umemalizika
groupPlanStartedToast,Started for the group 🙏,Lancé pour le groupe 🙏,Umeanzishwa kwa kikundi 🙏
notifPlanInvitation,Prayer plan invitation,Invitation à un plan de prière,Mwaliko wa mpango wa maombi
planDays,{n} days,{n} jours,siku {n}
planDayOf,Day {n} of {total},Jour {n} sur {total},Siku ya {n} kati ya {total}
planTheme21Title,21 days of breakthrough,21 jours de percée,Siku 21 za ushindi
planTheme21Sub,Three weeks of persistent daily prayer,Trois semaines de prière quotidienne persévérante,Wiki tatu za maombi ya kila siku kwa bidii
planUpperRoomTitle,The Upper Room — 10 days,La chambre haute — 10 jours,Chumba cha Juu — siku 10
planUpperRoomSub,"Ten days of united prayer, waiting on the promised Spirit","Dix jours de prière unie, dans l'attente de l'Esprit promis","Siku kumi za maombi kwa nia moja, mkimngoja Roho aliyeahidiwa"
planWeek7Title,7 days of gratitude,7 jours de gratitude,Siku 7 za shukrani
planWeek7Sub,"A week of thanksgiving, one theme a day","Une semaine d'actions de grâces, un thème par jour","Wiki moja ya shukrani, mada moja kwa siku"
planAltar7Title,Rekindle the altar — 7 days,Rallume l'autel — 7 jours,Washa upya madhabahu — Siku 7
planAltar7Sub,A week to return to God's presence and stir fresh hunger for Him,Une semaine pour revenir à la présence de Dieu et raviver la faim de Lui,Wiki ya kurudi katika uwepo wa Mungu na kuamsha njaa mpya kwake
plan30Title,30 days for others,30 jours pour les autres,Siku 30 kwa ajili ya wengine
plan30Sub,A month of intercession for people around you,Un mois d'intercession pour ceux qui t'entourent,Mwezi mmoja wa maombezi kwa watu wanaokuzunguka
groupCalendarTitle,Prayer calendar,Calendrier de prière,Kalenda ya maombi
groupCalendarSub,Claim a day — the group covers this request together,Choisis un jour — le groupe couvre ce sujet ensemble,Chagua siku — kikundi kinabeba ombi hili pamoja
commitToPray,I'll pray this day,Je prierai ce jour,Nitaomba siku hii
commitmentAdded,Added to your calendar 🙏,Ajouté à ton calendrier 🙏,Imeongezwa kwenye kalenda yako 🙏
commitmentRemoved,Commitment removed,Engagement retiré,Ahadi imeondolewa
removeCommitmentBtn,Remove my commitment,Retirer mon engagement,Ondoa ahadi yangu
noCommitmentsYet,No one has claimed a day yet — be the first,Personne n'a encore choisi de jour — sois le premier,Hakuna aliyechagua siku bado — kuwa wa kwanza
myCommitments,Group commitments,Engagements de groupe,Ahadi za kikundi
exportIcs,Export to calendar (.ics),Exporter vers un calendrier (.ics),Hamisha kwenye kalenda (.ics)
exportIcsSub,"Import your prayer schedule into Google Calendar, Outlook or Apple Calendar","Importe ton planning de prière dans Google Calendar, Outlook ou Apple Calendar","Ingiza ratiba yako ya maombi kwenye Google Calendar, Outlook au Apple Calendar"
scriptureRefOnly,The full text isn't available here. Open it in your Bible to read the whole passage.,Le texte complet n'est pas disponible ici. Ouvre-le dans ta Bible pour lire tout le passage.,Maandishi kamili hayapatikani hapa. Yafungue katika Biblia yako ili usome fungu zima.
privacyCenterTitle,Privacy Center,Centre de confidentialité,Kituo cha Faragha
privacyCenterSub,Understand exactly how your prayers are stored and shared — in plain language.,Comprends exactement comment tes prières sont stockées et partagées — en langage clair.,Elewa hasa jinsi sala zako zinavyohifadhiwa na kushirikiwa — kwa lugha rahisi.
privacyCenterBtn,Open Privacy Center,Ouvrir le Centre de confidentialité,Fungua Kituo cha Faragha
pcIntro,Here's what leaves your device — and what stays encrypted.,Voici ce qui quitte ton appareil — et ce qui reste chiffré.,Sala zako ni za kibinafsi. Hivi ndivyo zinavyoshughulikiwa — na kile kinachobaki kwako pekee.
pcPrivateTitle,Private prayers,Prières privées,Sala za faragha
pcPrivateBody,"Encrypted on your device before they're stored. Praystead keeps the encrypted content, not readable prayer text — so private prayers are encrypted for you.","Chiffrées sur ton appareil avant d'être stockées. Praystead conserve le contenu chiffré, pas le texte lisible de tes prières — tes prières privées sont chiffrées pour toi.",Sala unazoziweka kwako mwenyewe zinahifadhiwa katika akaunti yako na zinaonekana kwako pekee. Hazichapishwi kamwe kwenye kikundi isipokuwa uchague kuzishiriki.
pcSharedTitle,Community prayers,Prières communautaires,Sala za pamoja na za kikundi
pcSharedBody,"Encrypted before they're stored, and readable by the members of the group you share them with. Community prayers are encrypted for those group members — not for Praystead.","Chiffrées avant d'être stockées, et lisibles par les membres du groupe avec qui tu les partages. Les prières communautaires sont chiffrées pour ces membres — pas pour Praystead.","Sala unayoishiriki na kikundi inaonekana kwa kikundi hicho kwa kusudi — ndio moyo wa kusali pamoja. Chochote unachoshiriki kinatoka nje ya nafasi yako ya faragha, hivyo shiriki tu kile unachokubali wengine kukiona."
pcAiTitle,AI guidance,Aide de l'IA,Mapendekezo yanayosaidiwa na AI
pcAiBody,"Optional, and off until you turn it on. Only the information needed for that feature is sent, with your consent. The AI can suggest Bible references but never generates Scripture text — that always comes from a trusted source or a link to your own Bible.","Optionnelle, et désactivée tant que tu ne l'actives pas. Seules les informations nécessaires à la fonction sont envoyées, avec ton consentement. L'IA peut suggérer des références bibliques mais ne génère jamais le texte de l'Écriture — celui-ci provient toujours d'une source fiable ou d'un lien vers ta propre Bible.","Vipengele vya AI vinabaki vimezimwa hadi uvibonyeze. Hakuna chochote kuhusu sala kinachotumwa kwa AI bila idhini yako ya wazi, na AI haitengenezi kamwe maandishi ya mstari wa Biblia — Maandiko daima yanatoka chanzo cha kuaminika au kiungo cha Biblia yako mwenyewe."
pcPushTitle,Prayer reminders,Rappels de prière,Vikumbusho vya arifa
pcPushBody,"Generic by default — just a gentle nudge to pray. Prayer titles, details and names are never included in a notification unless you opt in.","Génériques par défaut — une simple invitation à prier. Les titres, détails et noms ne figurent jamais dans une notification, sauf si tu choisis de les inclure.",Vikumbusho vinapangwa kwa muda pekee. Arifa hazijumuishi kamwe maudhui ya sala zako — ni mwaliko mpole tu wa kuomba.
pcRecoveryTitle,Recovery & other devices,Récupération et autres appareils,Urejeshaji na vifaa vingine
pcRecoveryBody,"Your prayers are encrypted with a key kept on this device. Set up recovery if you want to open them on another device — without it, encrypted prayers can only be read here. If you lose your recovery code, encrypted prayers can't be recovered.","Tes prières sont chiffrées avec une clé conservée sur cet appareil. Configure la récupération si tu veux les ouvrir sur un autre appareil — sans elle, les prières chiffrées ne sont lisibles qu'ici. Si tu perds ton code de récupération, les prières chiffrées ne peuvent pas être récupérées.","Maombi yako husimbwa kwa njia fiche kwa ufunguo unaohifadhiwa kwenye kifaa hiki. Weka urejeshaji ikiwa unataka kuyafungua kwenye kifaa kingine — bila huo, maombi yaliyosimbwa yanaweza kusomwa hapa tu. Ukipoteza msimbo wako wa urejeshaji, maombi yaliyosimbwa hayawezi kurejeshwa."
pcExportTitle,Exporting your data,Exporter tes données,Hamisha data yako
pcExportBody,You can download all your prayers as a file at any time. Your data is yours.,Tu peux télécharger toutes tes prières dans un fichier à tout moment. Tes données t'appartiennent.,Unaweza kupakua sala zako zote kama faili wakati wowote. Data yako ni yako.
pcDeleteTitle,Deleting your account,Supprimer ton compte,Futa akaunti yako
pcDeleteBody,You can permanently delete your account and its data whenever you want. This can't be undone.,Tu peux supprimer définitivement ton compte et ses données quand tu le souhaites. Cette action est irréversible.,Unaweza kufuta akaunti yako na data yake kabisa wakati wowote. Hili haliwezi kutenduliwa.
pcSecurityNote,"No app can promise perfect security, but Praystead is built to keep your prayers private by default.","Aucune application ne peut promettre une sécurité parfaite, mais Praystead est conçu pour garder tes prières privées par défaut.","Hakuna programu inayoweza kuahidi usalama kamili, lakini Praystead imejengwa kuweka sala zako za faragha kwa chaguo-msingi."
planFast3Title,3 days of fasting & prayer,3 jours de jeûne et de prière,Siku 3 za kufunga na kuomba
planFast3Sub,A biblical three-day fast to seek God,Un jeûne biblique de trois jours pour chercher Dieu,Mfungo wa siku tatu wa kibiblia wa kumtafuta Mungu
planAbout,About this plan,À propos de ce plan,Kuhusu mpango huu
planInBible,In the Bible,Dans la Bible,Katika Biblia
planDayByDay,Day-by-day preview,Aperçu jour par jour,Muhtasari siku kwa siku
planDayLabel,Day {n},Jour {n},Siku ya {n}
planTapToPreview,Tap to preview & start,Touchez pour découvrir et commencer,Gusa ili kuona na kuanza
needsAttention,Needs attention,À traiter,Inahitaji umakini wako
checklistTitle,Get your group praying,Lance ton groupe dans la prière,Anzisha kikundi chako katika maombi
checklistInvite,Invite people,Invite des personnes,Alika watu
checklistRequest,Add the first prayer request,Ajoute le premier sujet de prière,Ongeza ombi la kwanza la maombi
checklistPray,Begin praying,Commence à prier,Anza kuomba
checklistDismiss,Hide this,Masquer,Ficha
intercessionTitle,Praying for others,Prier pour les autres,Kuwaombea wengine
intercessionSub,The requests you chose to carry — for people and groups,Les sujets que tu as choisi de porter — pour des personnes et des groupes,Maombi uliyochagua kubeba — kwa ajili ya watu na vikundi
praySharedBtn,Pray shared requests,Prier les sujets partagés,Omba maombi yaliyoshirikiwa
intercessionRemaining,{n} remaining today,{n} restants aujourd'hui,{n} zimebaki leo
intercessionDone,All prayed for today 🙏,Tout a été prié aujourd'hui 🙏,Yote yameombewa leo 🙏
srcPersonal,Personal,Personnels,Binafsi
srcGroups,Groups,Groupes,Vikundi
latestUpdateLabel,Latest update,Dernière nouvelle,Habari ya hivi punde
growNextStep,Your next step,Ta prochaine étape,Hatua yako inayofuata
growContinueDesc,Continue where you left off — a few quiet minutes of guided prayer,Reprends là où tu t'étais arrêté — quelques minutes de prière guidée,Endelea pale ulipoachia — dakika chache za maombi ya kuongozwa
growNewDesc,Continue learning to pray — a five-minute guided prayer,Continue d'apprendre à prier — une prière guidée de cinq minutes,Endelea kujifunza kuomba — maombi ya kuongozwa ya dakika tano
